index,source_file,clean_file,sentence_count,chunk_count,clean_chars
1,001_第1章 舔狗三年半，它竟说我攻略错对象！.txt,001_第1章 舔狗三年半，它竟说我攻略错对象！.txt,84,8,2032
2,002_第2章 她喜欢这个新对象.txt,002_第2章 她喜欢这个新对象.txt,94,9,2292
3,003_第3章 欲擒故纵的小把戏你已经玩过了.txt,003_第3章 欲擒故纵的小把戏你已经玩过了.txt,103,10,2531
4,004_第4章 谢遇安还真是个言出必行的真君子.txt,004_第4章 谢遇安还真是个言出必行的真君子.txt,80,8,2009
5,005_第5章 谁稀罕当你的跑腿丫环.txt,005_第5章 谁稀罕当你的跑腿丫环.txt,85,9,2152
6,006_第6章 陆世子，你弄疼她了.txt,006_第6章 陆世子，你弄疼她了.txt,88,8,2036
7,007_第7章 看到了，确实很美.txt,007_第7章 看到了，确实很美.txt,91,9,2286
8,008_第8章 狗男人终于做了一件好事.txt,008_第8章 狗男人终于做了一件好事.txt,86,9,2231
9,009_第9章 妹妹，不然你还是换个人追吧？.txt,009_第9章 妹妹，不然你还是换个人追吧？.txt,68,8,2035
10,010_第10章 完了，这下真的玩完了.txt,010_第10章 完了，这下真的玩完了.txt,92,10,2515
11,011_第11章 谢遇安生气了！.txt,011_第11章 谢遇安生气了！.txt,95,8,2042
12,012_第12章 怪我太优秀，我活该淋一天雨？.txt,012_第12章 怪我太优秀，我活该淋一天雨？.txt,87,9,2223
13,013_第13章 第一次唤她的名字.txt,013_第13章 第一次唤她的名字.txt,88,9,2249
14,014_第14章 难道她是天才？.txt,014_第14章 难道她是天才？.txt,89,9,2310
15,015_第15章 你怎么突然这么在乎乔吟，不会是喜欢上她了吧？.txt,015_第15章 你怎么突然这么在乎乔吟，不会是喜欢上她了吧？.txt,90,9,2247
16,016_第16章 乔吟会放弃？我不信.txt,016_第16章 乔吟会放弃？我不信.txt,95,9,2162
17,017_第17章 你跟陆瑾之以前也是这样说话吗？.txt,017_第17章 你跟陆瑾之以前也是这样说话吗？.txt,86,8,2048
