index,voice_name,language_code,gender,sample_rate_hz,preview_file,exists
1,cmn-CN-Chirp3-HD-Achernar,cmn-CN,FEMALE,24000,001_F_cmn-CN-Chirp3-HD-Achernar.mp3,True
6,cmn-CN-Chirp3-HD-Aoede,cmn-CN,FEMALE,24000,006_F_cmn-CN-Chirp3-HD-Aoede.mp3,True
7,cmn-CN-Chirp3-HD-Autonoe,cmn-CN,FEMALE,24000,007_F_cmn-CN-Chirp3-HD-Autonoe.mp3,True
8,cmn-CN-Chirp3-HD-Callirrhoe,cmn-CN,FEMALE,24000,008_F_cmn-CN-Chirp3-HD-Callirrhoe.mp3,True
10,cmn-CN-Chirp3-HD-Despina,cmn-CN,FEMALE,24000,010_F_cmn-CN-Chirp3-HD-Despina.mp3,True
12,cmn-CN-Chirp3-HD-Erinome,cmn-CN,FEMALE,24000,012_F_cmn-CN-Chirp3-HD-Erinome.mp3,True
14,cmn-CN-Chirp3-HD-Gacrux,cmn-CN,FEMALE,24000,014_F_cmn-CN-Chirp3-HD-Gacrux.mp3,True
16,cmn-CN-Chirp3-HD-Kore,cmn-CN,FEMALE,24000,016_F_cmn-CN-Chirp3-HD-Kore.mp3,True
17,cmn-CN-Chirp3-HD-Laomedeia,cmn-CN,FEMALE,24000,017_F_cmn-CN-Chirp3-HD-Laomedeia.mp3,True
18,cmn-CN-Chirp3-HD-Leda,cmn-CN,FEMALE,24000,018_F_cmn-CN-Chirp3-HD-Leda.mp3,True
21,cmn-CN-Chirp3-HD-Pulcherrima,cmn-CN,FEMALE,24000,021_F_cmn-CN-Chirp3-HD-Pulcherrima.mp3,True
26,cmn-CN-Chirp3-HD-Sulafat,cmn-CN,FEMALE,24000,026_F_cmn-CN-Chirp3-HD-Sulafat.mp3,True
28,cmn-CN-Chirp3-HD-Vindemiatrix,cmn-CN,FEMALE,24000,028_F_cmn-CN-Chirp3-HD-Vindemiatrix.mp3,True
29,cmn-CN-Chirp3-HD-Zephyr,cmn-CN,FEMALE,24000,029_F_cmn-CN-Chirp3-HD-Zephyr.mp3,True
31,cmn-CN-Standard-A,cmn-CN,FEMALE,24000,031_F_cmn-CN-Standard-A.mp3,True
34,cmn-CN-Standard-D,cmn-CN,FEMALE,24000,034_F_cmn-CN-Standard-D.mp3,True
35,cmn-CN-Wavenet-A,cmn-CN,FEMALE,24000,035_F_cmn-CN-Wavenet-A.mp3,True
38,cmn-CN-Wavenet-D,cmn-CN,FEMALE,24000,038_F_cmn-CN-Wavenet-D.mp3,True
39,cmn-TW-Standard-A,cmn-TW,FEMALE,24000,039_F_cmn-TW-Standard-A.mp3,True
42,cmn-TW-Wavenet-A,cmn-TW,FEMALE,24000,042_F_cmn-TW-Wavenet-A.mp3,True
45,yue-HK-Chirp3-HD-Achernar,yue-HK,FEMALE,24000,045_F_yue-HK-Chirp3-HD-Achernar.mp3,True
50,yue-HK-Chirp3-HD-Aoede,yue-HK,FEMALE,24000,050_F_yue-HK-Chirp3-HD-Aoede.mp3,True
51,yue-HK-Chirp3-HD-Autonoe,yue-HK,FEMALE,24000,051_F_yue-HK-Chirp3-HD-Autonoe.mp3,True
52,yue-HK-Chirp3-HD-Callirrhoe,yue-HK,FEMALE,24000,052_F_yue-HK-Chirp3-HD-Callirrhoe.mp3,True
54,yue-HK-Chirp3-HD-Despina,yue-HK,FEMALE,24000,054_F_yue-HK-Chirp3-HD-Despina.mp3,True
56,yue-HK-Chirp3-HD-Erinome,yue-HK,FEMALE,24000,056_F_yue-HK-Chirp3-HD-Erinome.mp3,True
58,yue-HK-Chirp3-HD-Gacrux,yue-HK,FEMALE,24000,058_F_yue-HK-Chirp3-HD-Gacrux.mp3,True
60,yue-HK-Chirp3-HD-Kore,yue-HK,FEMALE,24000,060_F_yue-HK-Chirp3-HD-Kore.mp3,True
61,yue-HK-Chirp3-HD-Laomedeia,yue-HK,FEMALE,24000,061_F_yue-HK-Chirp3-HD-Laomedeia.mp3,True
62,yue-HK-Chirp3-HD-Leda,yue-HK,FEMALE,24000,062_F_yue-HK-Chirp3-HD-Leda.mp3,True
65,yue-HK-Chirp3-HD-Pulcherrima,yue-HK,FEMALE,24000,065_F_yue-HK-Chirp3-HD-Pulcherrima.mp3,True
70,yue-HK-Chirp3-HD-Sulafat,yue-HK,FEMALE,24000,070_F_yue-HK-Chirp3-HD-Sulafat.mp3,True
72,yue-HK-Chirp3-HD-Vindemiatrix,yue-HK,FEMALE,24000,072_F_yue-HK-Chirp3-HD-Vindemiatrix.mp3,True
73,yue-HK-Chirp3-HD-Zephyr,yue-HK,FEMALE,24000,073_F_yue-HK-Chirp3-HD-Zephyr.mp3,True
75,yue-HK-Standard-A,yue-HK,FEMALE,24000,075_F_yue-HK-Standard-A.mp3,True
77,yue-HK-Standard-C,yue-HK,FEMALE,24000,077_F_yue-HK-Standard-C.mp3,True
