index,voice_name,language_code,gender,sample_rate_hz,preview_file,exists
2,cmn-CN-Chirp3-HD-Achird,cmn-CN,MALE,24000,002_M_cmn-CN-Chirp3-HD-Achird.mp3,True
3,cmn-CN-Chirp3-HD-Algenib,cmn-CN,MALE,24000,003_M_cmn-CN-Chirp3-HD-Algenib.mp3,True
4,cmn-CN-Chirp3-HD-Algieba,cmn-CN,MALE,24000,004_M_cmn-CN-Chirp3-HD-Algieba.mp3,True
5,cmn-CN-Chirp3-HD-Alnilam,cmn-CN,MALE,24000,005_M_cmn-CN-Chirp3-HD-Alnilam.mp3,True
9,cmn-CN-Chirp3-HD-Charon,cmn-CN,MALE,24000,009_M_cmn-CN-Chirp3-HD-Charon.mp3,True
11,cmn-CN-Chirp3-HD-Enceladus,cmn-CN,MALE,24000,011_M_cmn-CN-Chirp3-HD-Enceladus.mp3,True
13,cmn-CN-Chirp3-HD-Fenrir,cmn-CN,MALE,24000,013_M_cmn-CN-Chirp3-HD-Fenrir.mp3,True
15,cmn-CN-Chirp3-HD-Iapetus,cmn-CN,MALE,24000,015_M_cmn-CN-Chirp3-HD-Iapetus.mp3,True
19,cmn-CN-Chirp3-HD-Orus,cmn-CN,MALE,24000,019_M_cmn-CN-Chirp3-HD-Orus.mp3,True
20,cmn-CN-Chirp3-HD-Puck,cmn-CN,MALE,24000,020_M_cmn-CN-Chirp3-HD-Puck.mp3,True
22,cmn-CN-Chirp3-HD-Rasalgethi,cmn-CN,MALE,24000,022_M_cmn-CN-Chirp3-HD-Rasalgethi.mp3,True
23,cmn-CN-Chirp3-HD-Sadachbia,cmn-CN,MALE,24000,023_M_cmn-CN-Chirp3-HD-Sadachbia.mp3,True
24,cmn-CN-Chirp3-HD-Sadaltager,cmn-CN,MALE,24000,024_M_cmn-CN-Chirp3-HD-Sadaltager.mp3,True
25,cmn-CN-Chirp3-HD-Schedar,cmn-CN,MALE,24000,025_M_cmn-CN-Chirp3-HD-Schedar.mp3,True
27,cmn-CN-Chirp3-HD-Umbriel,cmn-CN,MALE,24000,027_M_cmn-CN-Chirp3-HD-Umbriel.mp3,True
30,cmn-CN-Chirp3-HD-Zubenelgenubi,cmn-CN,MALE,24000,030_M_cmn-CN-Chirp3-HD-Zubenelgenubi.mp3,True
32,yue-HK-Chirp3-HD-Achird,yue-HK,MALE,24000,032_M_yue-HK-Chirp3-HD-Achird.mp3,True
33,yue-HK-Chirp3-HD-Algenib,yue-HK,MALE,24000,033_M_yue-HK-Chirp3-HD-Algenib.mp3,True
34,yue-HK-Chirp3-HD-Algieba,yue-HK,MALE,24000,034_M_yue-HK-Chirp3-HD-Algieba.mp3,True
35,yue-HK-Chirp3-HD-Alnilam,yue-HK,MALE,24000,035_M_yue-HK-Chirp3-HD-Alnilam.mp3,True
39,yue-HK-Chirp3-HD-Charon,yue-HK,MALE,24000,039_M_yue-HK-Chirp3-HD-Charon.mp3,True
41,yue-HK-Chirp3-HD-Enceladus,yue-HK,MALE,24000,041_M_yue-HK-Chirp3-HD-Enceladus.mp3,True
43,yue-HK-Chirp3-HD-Fenrir,yue-HK,MALE,24000,043_M_yue-HK-Chirp3-HD-Fenrir.mp3,True
45,yue-HK-Chirp3-HD-Iapetus,yue-HK,MALE,24000,045_M_yue-HK-Chirp3-HD-Iapetus.mp3,True
49,yue-HK-Chirp3-HD-Orus,yue-HK,MALE,24000,049_M_yue-HK-Chirp3-HD-Orus.mp3,True
50,yue-HK-Chirp3-HD-Puck,yue-HK,MALE,24000,050_M_yue-HK-Chirp3-HD-Puck.mp3,True
52,yue-HK-Chirp3-HD-Rasalgethi,yue-HK,MALE,24000,052_M_yue-HK-Chirp3-HD-Rasalgethi.mp3,True
53,yue-HK-Chirp3-HD-Sadachbia,yue-HK,MALE,24000,053_M_yue-HK-Chirp3-HD-Sadachbia.mp3,True
54,yue-HK-Chirp3-HD-Sadaltager,yue-HK,MALE,24000,054_M_yue-HK-Chirp3-HD-Sadaltager.mp3,True
55,yue-HK-Chirp3-HD-Schedar,yue-HK,MALE,24000,055_M_yue-HK-Chirp3-HD-Schedar.mp3,True
57,yue-HK-Chirp3-HD-Umbriel,yue-HK,MALE,24000,057_M_yue-HK-Chirp3-HD-Umbriel.mp3,True
60,yue-HK-Chirp3-HD-Zubenelgenubi,yue-HK,MALE,24000,060_M_yue-HK-Chirp3-HD-Zubenelgenubi.mp3,True
