index,voice_name,language_code,sample_rate_hz,preview_file
1,cmn-CN-Chirp3-HD-Achernar,cmn-CN,24000,001_F_cmn-CN-Chirp3-HD-Achernar.mp3
2,cmn-CN-Chirp3-HD-Achird,cmn-CN,24000,002_M_cmn-CN-Chirp3-HD-Achird.mp3
3,cmn-CN-Chirp3-HD-Algenib,cmn-CN,24000,003_M_cmn-CN-Chirp3-HD-Algenib.mp3
4,cmn-CN-Chirp3-HD-Algieba,cmn-CN,24000,004_M_cmn-CN-Chirp3-HD-Algieba.mp3
5,cmn-CN-Chirp3-HD-Alnilam,cmn-CN,24000,005_M_cmn-CN-Chirp3-HD-Alnilam.mp3
6,cmn-CN-Chirp3-HD-Aoede,cmn-CN,24000,006_F_cmn-CN-Chirp3-HD-Aoede.mp3
7,cmn-CN-Chirp3-HD-Autonoe,cmn-CN,24000,007_F_cmn-CN-Chirp3-HD-Autonoe.mp3
8,cmn-CN-Chirp3-HD-Callirrhoe,cmn-CN,24000,008_F_cmn-CN-Chirp3-HD-Callirrhoe.mp3
9,cmn-CN-Chirp3-HD-Charon,cmn-CN,24000,009_M_cmn-CN-Chirp3-HD-Charon.mp3
10,cmn-CN-Chirp3-HD-Despina,cmn-CN,24000,010_F_cmn-CN-Chirp3-HD-Despina.mp3
11,cmn-CN-Chirp3-HD-Enceladus,cmn-CN,24000,011_M_cmn-CN-Chirp3-HD-Enceladus.mp3
12,cmn-CN-Chirp3-HD-Erinome,cmn-CN,24000,012_F_cmn-CN-Chirp3-HD-Erinome.mp3
13,cmn-CN-Chirp3-HD-Fenrir,cmn-CN,24000,013_M_cmn-CN-Chirp3-HD-Fenrir.mp3
14,cmn-CN-Chirp3-HD-Gacrux,cmn-CN,24000,014_F_cmn-CN-Chirp3-HD-Gacrux.mp3
15,cmn-CN-Chirp3-HD-Iapetus,cmn-CN,24000,015_M_cmn-CN-Chirp3-HD-Iapetus.mp3
16,cmn-CN-Chirp3-HD-Kore,cmn-CN,24000,016_F_cmn-CN-Chirp3-HD-Kore.mp3
17,cmn-CN-Chirp3-HD-Laomedeia,cmn-CN,24000,017_F_cmn-CN-Chirp3-HD-Laomedeia.mp3
18,cmn-CN-Chirp3-HD-Leda,cmn-CN,24000,018_F_cmn-CN-Chirp3-HD-Leda.mp3
19,cmn-CN-Chirp3-HD-Orus,cmn-CN,24000,019_M_cmn-CN-Chirp3-HD-Orus.mp3
20,cmn-CN-Chirp3-HD-Puck,cmn-CN,24000,020_M_cmn-CN-Chirp3-HD-Puck.mp3
21,cmn-CN-Chirp3-HD-Pulcherrima,cmn-CN,24000,021_F_cmn-CN-Chirp3-HD-Pulcherrima.mp3
22,cmn-CN-Chirp3-HD-Rasalgethi,cmn-CN,24000,022_M_cmn-CN-Chirp3-HD-Rasalgethi.mp3
23,cmn-CN-Chirp3-HD-Sadachbia,cmn-CN,24000,023_M_cmn-CN-Chirp3-HD-Sadachbia.mp3
24,cmn-CN-Chirp3-HD-Sadaltager,cmn-CN,24000,024_M_cmn-CN-Chirp3-HD-Sadaltager.mp3
25,cmn-CN-Chirp3-HD-Schedar,cmn-CN,24000,025_M_cmn-CN-Chirp3-HD-Schedar.mp3
26,cmn-CN-Chirp3-HD-Sulafat,cmn-CN,24000,026_F_cmn-CN-Chirp3-HD-Sulafat.mp3
27,cmn-CN-Chirp3-HD-Umbriel,cmn-CN,24000,027_M_cmn-CN-Chirp3-HD-Umbriel.mp3
28,cmn-CN-Chirp3-HD-Vindemiatrix,cmn-CN,24000,028_F_cmn-CN-Chirp3-HD-Vindemiatrix.mp3
29,cmn-CN-Chirp3-HD-Zephyr,cmn-CN,24000,029_F_cmn-CN-Chirp3-HD-Zephyr.mp3
30,cmn-CN-Chirp3-HD-Zubenelgenubi,cmn-CN,24000,030_M_cmn-CN-Chirp3-HD-Zubenelgenubi.mp3
31,cmn-CN-Standard-A,cmn-CN,24000,031_F_cmn-CN-Standard-A.mp3
32,cmn-CN-Standard-B,cmn-CN,24000,032_M_cmn-CN-Standard-B.mp3
33,cmn-CN-Standard-C,cmn-CN,24000,033_M_cmn-CN-Standard-C.mp3
34,cmn-CN-Standard-D,cmn-CN,24000,034_F_cmn-CN-Standard-D.mp3
35,cmn-CN-Wavenet-A,cmn-CN,24000,035_F_cmn-CN-Wavenet-A.mp3
36,cmn-CN-Wavenet-B,cmn-CN,24000,036_M_cmn-CN-Wavenet-B.mp3
37,cmn-CN-Wavenet-C,cmn-CN,24000,037_M_cmn-CN-Wavenet-C.mp3
38,cmn-CN-Wavenet-D,cmn-CN,24000,038_F_cmn-CN-Wavenet-D.mp3
39,cmn-TW-Standard-A,cmn-TW,24000,039_F_cmn-TW-Standard-A.mp3
40,cmn-TW-Standard-B,cmn-TW,24000,040_M_cmn-TW-Standard-B.mp3
41,cmn-TW-Standard-C,cmn-TW,24000,041_M_cmn-TW-Standard-C.mp3
42,cmn-TW-Wavenet-A,cmn-TW,24000,042_F_cmn-TW-Wavenet-A.mp3
43,cmn-TW-Wavenet-B,cmn-TW,24000,043_M_cmn-TW-Wavenet-B.mp3
44,cmn-TW-Wavenet-C,cmn-TW,24000,044_M_cmn-TW-Wavenet-C.mp3
45,yue-HK-Chirp3-HD-Achernar,yue-HK,24000,045_F_yue-HK-Chirp3-HD-Achernar.mp3
46,yue-HK-Chirp3-HD-Achird,yue-HK,24000,046_M_yue-HK-Chirp3-HD-Achird.mp3
47,yue-HK-Chirp3-HD-Algenib,yue-HK,24000,047_M_yue-HK-Chirp3-HD-Algenib.mp3
48,yue-HK-Chirp3-HD-Algieba,yue-HK,24000,048_M_yue-HK-Chirp3-HD-Algieba.mp3
49,yue-HK-Chirp3-HD-Alnilam,yue-HK,24000,049_M_yue-HK-Chirp3-HD-Alnilam.mp3
50,yue-HK-Chirp3-HD-Aoede,yue-HK,24000,050_F_yue-HK-Chirp3-HD-Aoede.mp3
51,yue-HK-Chirp3-HD-Autonoe,yue-HK,24000,051_F_yue-HK-Chirp3-HD-Autonoe.mp3
52,yue-HK-Chirp3-HD-Callirrhoe,yue-HK,24000,052_F_yue-HK-Chirp3-HD-Callirrhoe.mp3
53,yue-HK-Chirp3-HD-Charon,yue-HK,24000,053_M_yue-HK-Chirp3-HD-Charon.mp3
54,yue-HK-Chirp3-HD-Despina,yue-HK,24000,054_F_yue-HK-Chirp3-HD-Despina.mp3
55,yue-HK-Chirp3-HD-Enceladus,yue-HK,24000,055_M_yue-HK-Chirp3-HD-Enceladus.mp3
56,yue-HK-Chirp3-HD-Erinome,yue-HK,24000,056_F_yue-HK-Chirp3-HD-Erinome.mp3
57,yue-HK-Chirp3-HD-Fenrir,yue-HK,24000,057_M_yue-HK-Chirp3-HD-Fenrir.mp3
58,yue-HK-Chirp3-HD-Gacrux,yue-HK,24000,058_F_yue-HK-Chirp3-HD-Gacrux.mp3
59,yue-HK-Chirp3-HD-Iapetus,yue-HK,24000,059_M_yue-HK-Chirp3-HD-Iapetus.mp3
60,yue-HK-Chirp3-HD-Kore,yue-HK,24000,060_F_yue-HK-Chirp3-HD-Kore.mp3
61,yue-HK-Chirp3-HD-Laomedeia,yue-HK,24000,061_F_yue-HK-Chirp3-HD-Laomedeia.mp3
62,yue-HK-Chirp3-HD-Leda,yue-HK,24000,062_F_yue-HK-Chirp3-HD-Leda.mp3
63,yue-HK-Chirp3-HD-Orus,yue-HK,24000,063_M_yue-HK-Chirp3-HD-Orus.mp3
64,yue-HK-Chirp3-HD-Puck,yue-HK,24000,064_M_yue-HK-Chirp3-HD-Puck.mp3
65,yue-HK-Chirp3-HD-Pulcherrima,yue-HK,24000,065_F_yue-HK-Chirp3-HD-Pulcherrima.mp3
66,yue-HK-Chirp3-HD-Rasalgethi,yue-HK,24000,066_M_yue-HK-Chirp3-HD-Rasalgethi.mp3
67,yue-HK-Chirp3-HD-Sadachbia,yue-HK,24000,067_M_yue-HK-Chirp3-HD-Sadachbia.mp3
68,yue-HK-Chirp3-HD-Sadaltager,yue-HK,24000,068_M_yue-HK-Chirp3-HD-Sadaltager.mp3
69,yue-HK-Chirp3-HD-Schedar,yue-HK,24000,069_M_yue-HK-Chirp3-HD-Schedar.mp3
70,yue-HK-Chirp3-HD-Sulafat,yue-HK,24000,070_F_yue-HK-Chirp3-HD-Sulafat.mp3
71,yue-HK-Chirp3-HD-Umbriel,yue-HK,24000,071_M_yue-HK-Chirp3-HD-Umbriel.mp3
72,yue-HK-Chirp3-HD-Vindemiatrix,yue-HK,24000,072_F_yue-HK-Chirp3-HD-Vindemiatrix.mp3
73,yue-HK-Chirp3-HD-Zephyr,yue-HK,24000,073_F_yue-HK-Chirp3-HD-Zephyr.mp3
74,yue-HK-Chirp3-HD-Zubenelgenubi,yue-HK,24000,074_M_yue-HK-Chirp3-HD-Zubenelgenubi.mp3
75,yue-HK-Standard-A,yue-HK,24000,075_F_yue-HK-Standard-A.mp3
76,yue-HK-Standard-B,yue-HK,24000,076_M_yue-HK-Standard-B.mp3
77,yue-HK-Standard-C,yue-HK,24000,077_F_yue-HK-Standard-C.mp3
78,yue-HK-Standard-D,yue-HK,24000,078_M_yue-HK-Standard-D.mp3
